
Reading graph...
Info: Reading pbbs format
Reading contracted graph...
Info: Reading pbbs format
Running on /data9/zwan018/origin/Germany_sym_wgh.adj: |V|=12277375, |E|=32266600, param=1048576, num_src=25, num_round=10
85 Round 1: 0.107081
83 Round 2: 0.121823
86 Round 3: 0.108948
84 Round 4: 0.108442
86 Round 5: 0.107663
87 Round 6: 0.111412
84 Round 7: 0.107077
84 Round 8: 0.109819
85 Round 9: 0.107131
87 Round 10: 0.108571
Average time: 0.222209	0.109797

source 14: 3697653   
117 Warmup Round: 0.226980
118 Round 1: 0.226684
116 Round 2: 0.236304
118 Round 3: 0.222234
118 Round 4: 0.234213
115 Round 5: 0.233798
118 Round 6: 0.227102
118 Round 7: 0.222908
116 Round 8: 0.217395
120 Round 9: 0.228824
119 Round 10: 0.222783
52 Warmup Round: 0.117415
53 Round 1: 0.117276
52 Round 2: 0.137697
52 Round 3: 0.124318
52 Round 4: 0.123329
52 Round 5: 0.121342
53 Round 6: 0.119148
54 Round 7: 0.112295
52 Round 8: 0.113452
52 Round 9: 0.126029
52 Round 10: 0.120396
Average time: 0.227225	0.121528

source 15: 1852911   
183 Warmup Round: 0.220346
183 Round 1: 0.214515
183 Round 2: 0.212773
183 Round 3: 0.214250
182 Round 4: 0.210920
183 Round 5: 0.201841
183 Round 6: 0.210924
183 Round 7: 0.208693
183 Round 8: 0.209988
182 Round 9: 0.209679
181 Round 10: 0.219000
84 Warmup Round: 0.116703
84 Round 1: 0.105437
84 Round 2: 0.112989
84 Round 3: 0.111775
84 Round 4: 0.112712
84 Round 5: 0.117377
84 Round 6: 0.117527
84 Round 7: 0.112690
84 Round 8: 0.104558
84 Round 9: 0.109549
84 Round 10: 0.109984
Average time: 0.211258	0.111460

source 16: 8125094   
104 Warmup Round: 0.228305
104 Round 1: 0.224398
103 Round 2: 0.229757
105 Round 3: 0.223641
104 Round 4: 0.228511
105 Round 5: 0.221241
105 Round 6: 0.224283
104 Round 7: 0.235318
104 Round 8: 0.221791
104 Round 9: 0.229661
105 Round 10: 0.217036
46 Warmup Round: 0.139218
47 Round 1: 0.122260
47 Round 2: 0.122003
47 Round 3: 0.124800
47 Round 4: 0.122839
48 Round 5: 0.118438
47 Round 6: 0.126468
47 Round 7: 0.117302
47 Round 8: 0.120437
48 Round 9: 0.123273
48 Round 10: 0.126117
Average time: 0.225564	0.122394

source 17: 6628804   
120 Warmup Round: 0.256211
121 Round 1: 0.243245
121 Round 2: 0.242608
118 Round 3: 0.256230
118 Round 4: 0.257301
121 Round 5: 0.238363
120 Round 6: 0.238615
120 Round 7: 0.235950
121 Round 8: 0.240471
120 Round 9: 0.250007
119 Round 10: 0.249947
54 Warmup Round: 0.129113
54 Round 1: 0.124638
54 Round 2: 0.118488
54 Round 3: 0.117096
54 Round 4: 0.121346
54 Round 5: 0.144301
54 Round 6: 0.128112
54 Round 7: 0.118430
54 Round 8: 0.123528
54 Round 9: 0.123577
54 Round 10: 0.121388
Average time: 0.245274	0.124090

source 18: 5181099   
184 Warmup Round: 0.232019
183 Round 1: 0.215418
182 Round 2: 0.206062
184 Round 3: 0.203252
184 Round 4: 0.217212
183 Round 5: 0.217045
183 Round 6: 0.215596
184 Round 7: 0.216238
184 Round 8: 0.211935
183 Round 9: 0.217614
185 Round 10: 0.211942
83 Warmup Round: 0.143563
83 Round 1: 0.114834
83 Round 2: 0.113866
83 Round 3: 0.116505
83 Round 4: 0.114099
85 Round 5: 0.121064
83 Round 6: 0.137807
83 Round 7: 0.114561
82 Round 8: 0.116912
83 Round 9: 0.114864
83 Round 10: 0.111060
Average time: 0.213231	0.117557

source 19: 12054158  
205 Warmup Round: 0.230982
205 Round 1: 0.227261
205 Round 2: 0.226015
205 Round 3: 0.221227
205 Round 4: 0.224126
208 Round 5: 0.220232
207 Round 6: 0.217699
204 Round 7: 0.223623
205 Round 8: 0.229294
204 Round 9: 0.222863
204 Round 10: 0.230835
98 Warmup Round: 0.127767
96 Round 1: 0.117109
97 Round 2: 0.114025
97 Round 3: 0.117724
97 Round 4: 0.115051
98 Round 5: 0.114884
98 Round 6: 0.111141
97 Round 7: 0.122503
98 Round 8: 0.118251
98 Round 9: 0.112522
97 Round 10: 0.125518
Average time: 0.224318	0.116873

source 20: 8229910   
151 Warmup Round: 0.220538
150 Round 1: 0.223427
150 Round 2: 0.219845
149 Round 3: 0.220047
150 Round 4: 0.224630
152 Round 5: 0.227984
151 Round 6: 0.220455
151 Round 7: 0.221965
152 Round 8: 0.231242
153 Round 9: 0.215089
152 Round 10: 0.213148
67 Warmup Round: 0.114467
66 Round 1: 0.110364
66 Round 2: 0.109410
67 Round 3: 0.113777
66 Round 4: 0.109585
67 Round 5: 0.109071
66 Round 6: 0.106008
67 Round 7: 0.103069
66 Round 8: 0.106383
66 Round 9: 0.108282
65 Round 10: 0.110237
Average time: 0.221783	0.108619

source 21: 12066342  
209 Warmup Round: 0.221915
208 Round 1: 0.217573
208 Round 2: 0.214701
209 Round 3: 0.216123
208 Round 4: 0.217893
210 Round 5: 0.215544
208 Round 6: 0.219239
208 Round 7: 0.219420
207 Round 8: 0.218499
208 Round 9: 0.215653
208 Round 10: 0.230781
95 Warmup Round: 0.126063
95 Round 1: 0.118072
92 Round 2: 0.117837
92 Round 3: 0.116437
93 Round 4: 0.126909
93 Round 5: 0.116912
92 Round 6: 0.132133
94 Round 7: 0.114221
94 Round 8: 0.115801
93 Round 9: 0.114926
95 Round 10: 0.116515
Average time: 0.218543	0.118976

source 22: 7109163   
178 Warmup Round: 0.216115
180 Round 1: 0.211996
180 Round 2: 0.213198
180 Round 3: 0.212069
180 Round 4: 0.220270
180 Round 5: 0.212760
180 Round 6: 0.217059
181 Round 7: 0.214191
180 Round 8: 0.216706
179 Round 9: 0.225978
181 Round 10: 0.209073
76 Warmup Round: 0.118741
76 Round 1: 0.114943
77 Round 2: 0.111719
77 Round 3: 0.121603
77 Round 4: 0.114391
77 Round 5: 0.113786
77 Round 6: 0.115628
77 Round 7: 0.116901
78 Round 8: 0.114141
76 Round 9: 0.111348
76 Round 10: 0.114626
Average time: 0.215330	0.114909

source 23: 8212638   
127 Warmup Round: 0.202154
126 Round 1: 0.219824
127 Round 2: 0.205434
127 Round 3: 0.200688
127 Round 4: 0.210334
126 Round 5: 0.213633
127 Round 6: 0.202766
127 Round 7: 0.200145
127 Round 8: 0.199794
127 Round 9: 0.208427
127 Round 10: 0.207234
59 Warmup Round: 0.102616
60 Round 1: 0.103106
60 Round 2: 0.102154
60 Round 3: 0.100422
60 Round 4: 0.105723
60 Round 5: 0.105122
61 Round 6: 0.103571
60 Round 7: 0.104042
60 Round 8: 0.102898
60 Round 9: 0.105502
59 Round 10: 0.104540
Average time: 0.206828	0.103708

source 24: 11695126  
173 Warmup Round: 0.206646
171 Round 1: 0.207831
172 Round 2: 0.208514
173 Round 3: 0.206910
173 Round 4: 0.219063
172 Round 5: 0.211240
174 Round 6: 0.207509
174 Round 7: 0.208627
172 Round 8: 0.210683
174 Round 9: 0.207961
172 Round 10: 0.207725
73 Warmup Round: 0.117291
71 Round 1: 0.114363
73 Round 2: 0.113034
73 Round 3: 0.111618
73 Round 4: 0.109803
73 Round 5: 0.110590
72 Round 6: 0.109957
72 Round 7: 0.118341
73 Round 8: 0.110576
73 Round 9: 0.110338
71 Round 10: 0.110487
Average time: 0.209606	0.111911

