Reading graph...
Reading contracted graph...
Info: Reading pbbs format
Running on /data0/graphs/links/web-Google_sym.bin: |V|=875713, |E|=8644102, param=262144, num_src=25, num_round=10
8 Round 8: 0.013910
8 Round 9: 0.012346
8 Round 10: 0.015491
6 Warmup Round: 0.016729
6 Round 1: 0.017156
6 Round 2: 0.016787
6 Round 3: 0.015621
7 Round 4: 0.015846
6 Round 5: 0.016671
6 Round 6: 0.015818
7 Round 7: 0.015937
6 Round 8: 0.017987
6 Round 9: 0.016658
6 Round 10: 0.015533
Average time: 0.013805	0.016401

source 22: 62610     
8 Warmup Round: 0.013072
8 Round 1: 0.013495
8 Round 2: 0.023906
8 Round 3: 0.014331
8 Round 4: 0.014177
8 Round 5: 0.015175
8 Round 6: 0.013758
8 Round 7: 0.012554
8 Round 8: 0.013737
8 Round 9: 0.012056
8 Round 10: 0.013496
8 Warmup Round: 0.018534
9 Round 1: 0.017825
8 Round 2: 0.020303
8 Round 3: 0.016697
8 Round 4: 0.019109
9 Round 5: 0.019741
9 Round 6: 0.019366
8 Round 7: 0.020143
8 Round 8: 0.018354
8 Round 9: 0.019145
9 Round 10: 0.019397
Average time: 0.014668	0.019008

source 23: 457443    
8 Warmup Round: 0.013233
8 Round 1: 0.013826
8 Round 2: 0.013272
8 Round 3: 0.013239
8 Round 4: 0.015271
8 Round 5: 0.013380
8 Round 6: 0.013493
8 Round 7: 0.014287
8 Round 8: 0.013315
8 Round 9: 0.014719
8 Round 10: 0.015171
6 Warmup Round: 0.019261
6 Round 1: 0.019323
8 Round 2: 0.019467
6 Round 3: 0.016874
8 Round 4: 0.020173
9 Round 5: 0.019648
6 Round 6: 0.018137
8 Round 7: 0.019565
6 Round 8: 0.017651
6 Round 9: 0.016772
8 Round 10: 0.019418
Average time: 0.013997	0.018703

source 24: 849244    
8 Warmup Round: 0.012696
8 Round 1: 0.013877
8 Round 2: 0.013583
8 Round 3: 0.014534
9 Round 4: 0.013254
8 Round 5: 0.013883
8 Round 6: 0.011696
8 Round 7: 0.011347
8 Round 8: 0.015457
8 Round 9: 0.012937
8 Round 10: 0.012667
9 Warmup Round: 0.021062
7 Round 1: 0.020849
8 Round 2: 0.018916
7 Round 3: 0.019990
7 Round 4: 0.019179
9 Round 5: 0.018975
8 Round 6: 0.020972
10 Round 7: 0.021144
9 Round 8: 0.017963
8 Round 9: 0.019757
7 Round 10: 0.019653
Average time: 0.013323	0.019740

