Reading graph...
Reading contracted graph...
Info: Reading pbbs format
Running on /data0/graphs/links/web-Google_sym.bin: |V|=875713, |E|=8644102, param=8388608, num_src=25, num_round=10
4 Round 6: 0.012271
4 Round 7: 0.013212
4 Round 8: 0.012319
4 Round 9: 0.012714
4 Round 10: 0.012669
Average time: 0.013954	0.012701

source 13: 660148    
4 Warmup Round: 0.013760
6 Round 1: 0.013558
4 Round 2: 0.013403
5 Round 3: 0.014406
4 Round 4: 0.013064
4 Round 5: 0.013824
4 Round 6: 0.013245
4 Round 7: 0.013792
5 Round 8: 0.013698
6 Round 9: 0.014800
6 Round 10: 0.014558
4 Warmup Round: 0.011206
4 Round 1: 0.010192
4 Round 2: 0.023604
4 Round 3: 0.011265
5 Round 4: 0.010829
4 Round 5: 0.010017
4 Round 6: 0.010362
4 Round 7: 0.010774
4 Round 8: 0.009777
6 Round 9: 0.012256
4 Round 10: 0.010271
Average time: 0.013835	0.011935

source 14: 20075     
4 Warmup Round: 0.013362
4 Round 1: 0.013028
5 Round 2: 0.013663
4 Round 3: 0.012289
4 Round 4: 0.012860
5 Round 5: 0.014119
4 Round 6: 0.012721
4 Round 7: 0.011556
4 Round 8: 0.012963
5 Round 9: 0.013883
5 Round 10: 0.013716
4 Warmup Round: 0.015269
5 Round 1: 0.014719
5 Round 2: 0.013830
4 Round 3: 0.013907
4 Round 4: 0.012193
5 Round 5: 0.015901
4 Round 6: 0.012676
4 Round 7: 0.015421
5 Round 8: 0.014248
6 Round 9: 0.016278
4 Round 10: 0.014565
Average time: 0.013080	0.014374

source 15: 465146    
4 Warmup Round: 0.014134
5 Round 1: 0.014268
4 Round 2: 0.013471
5 Round 3: 0.014296
5 Round 4: 0.014337
5 Round 5: 0.013311
5 Round 6: 0.013266
4 Round 7: 0.012890
4 Round 8: 0.012384
4 Round 9: 0.012536
5 Round 10: 0.013728
5 Warmup Round: 0.011034
5 Round 1: 0.011693
5 Round 2: 0.011586
4 Round 3: 0.010184
5 Round 4: 0.010539
5 Round 5: 0.011454
5 Round 6: 0.011103
5 Round 7: 0.011317
5 Round 8: 0.010865
5 Round 9: 0.011211
5 Round 10: 0.011349
Average time: 0.013449	0.011130

source 16: 835039    
4 Warmup Round: 0.012828
4 Round 1: 0.012961
4 Round 2: 0.012455
4 Round 3: 0.013496
5 Round 4: 0.014153
4 Round 5: 0.012258
4 Round 6: 0.012925
5 Round 7: 0.014015
5 Round 8: 0.013505
4 Round 9: 0.012742
4 Round 10: 0.013392
4 Warmup Round: 0.011658
6 Round 1: 0.013868
6 Round 2: 0.014432
6 Round 3: 0.012957
4 Round 4: 0.012698
6 Round 5: 0.014091
6 Round 6: 0.012937
6 Round 7: 0.014056
5 Round 8: 0.013184
6 Round 9: 0.024655
6 Round 10: 0.013661
Average time: 0.013190	0.014654

source 17: 306694    
5 Warmup Round: 0.029402
5 Round 1: 0.012736
4 Round 2: 0.012460
4 Round 3: 0.011688
5 Round 4: 0.011593
4 Round 5: 0.011987
4 Round 6: 0.012441
5 Round 7: 0.012598
4 Round 8: 0.011863
4 Round 9: 0.012386
5 Round 10: 0.012589
4 Warmup Round: 0.012040
4 Round 1: 0.011747
5 Round 2: 0.011505
4 Round 3: 0.011677
5 Round 4: 0.011426
5 Round 5: 0.013090
5 Round 6: 0.012064
5 Round 7: 0.012375
4 Round 8: 0.010674
5 Round 9: 0.012105
4 Round 10: 0.010486
Average time: 0.012234	0.011715

source 18: 557440    
4 Warmup Round: 0.012263
4 Round 1: 0.011241
4 Round 2: 0.011168
5 Round 3: 0.011722
4 Round 4: 0.010925
4 Round 5: 0.010491
5 Round 6: 0.011906
4 Round 7: 0.010721
5 Round 8: 0.012123
4 Round 9: 0.011573
4 Round 10: 0.010170
5 Warmup Round: 0.010444
4 Round 1: 0.010556
5 Round 2: 0.011981
5 Round 3: 0.014031
4 Round 4: 0.010962
4 Round 5: 0.011692
4 Round 6: 0.011020
4 Round 7: 0.012151
4 Round 8: 0.011304
4 Round 9: 0.011608
4 Round 10: 0.010139
Average time: 0.011204	0.011544

source 19: 704675    
5 Warmup Round: 0.012651
4 Round 1: 0.011708
4 Round 2: 0.011310
5 Round 3: 0.011202
4 Round 4: 0.012361
5 Round 5: 0.011386
5 Round 6: 0.011999
4 Round 7: 0.010760
5 Round 8: 0.011890
4 Round 9: 0.010189
4 Round 10: 0.012340
4 Warmup Round: 0.013742
4 Round 1: 0.011234
5 Round 2: 0.011682
4 Round 3: 0.009970
4 Round 4: 0.010460
4 Round 5: 0.010814
4 Round 6: 0.011719
4 Round 7: 0.010391
4 Round 8: 0.010839
4 Round 9: 0.010569
4 Round 10: 0.011533
Average time: 0.011515	0.010921

source 20: 208553    
5 Warmup Round: 0.014175
5 Round 1: 0.012896
4 Round 2: 0.012340
5 Round 3: 0.013345
5 Round 4: 0.013477
4 Round 5: 0.013685
4 Round 6: 0.013205
4 Round 7: 0.012823
4 Round 8: 0.012719
4 Round 9: 0.012642
4 Round 10: 0.013187
4 Warmup Round: 0.012427
5 Round 1: 0.011737
5 Round 2: 0.013294
5 Round 3: 0.012470
5 Round 4: 0.010963
4 Round 5: 0.011666
5 Round 6: 0.046952
5 Round 7: 0.021864
5 Round 8: 0.011780
5 Round 9: 0.010660
5 Round 10: 0.011186
Average time: 0.013032	0.016257

source 21: 89119     
5 Warmup Round: 0.033788
6 Round 1: 0.013511
4 Round 2: 0.010842
5 Round 3: 0.012342
6 Round 4: 0.013549
4 Round 5: 0.010711
4 Round 6: 0.011834
5 Round 7: 0.012224
5 Round 8: 0.013211
4 Round 9: 0.011507
5 Round 10: 0.013030
4 Warmup Round: 0.009824
4 Round 1: 0.009617
4 Round 2: 0.009353
5 Round 3: 0.011393
4 Round 4: 0.010108
4 Round 5: 0.010448
4 Round 6: 0.010269
4 Round 7: 0.011363
5 Round 8: 0.010742
4 Round 9: 0.009417
4 Round 10: 0.010899
Average time: 0.012276	0.010361

source 22: 62610     
5 Warmup Round: 0.014437
5 Round 1: 0.013435
5 Round 2: 0.012708
6 Round 3: 0.013722
6 Round 4: 0.013016
5 Round 5: 0.013637
4 Round 6: 0.012853
5 Round 7: 0.013437
5 Round 8: 0.013463
6 Round 9: 0.013893
4 Round 10: 0.012617
5 Warmup Round: 0.020816
6 Round 1: 0.014320
4 Round 2: 0.011164
5 Round 3: 0.012247
6 Round 4: 0.014804
6 Round 5: 0.013678
5 Round 6: 0.011777
4 Round 7: 0.012961
5 Round 8: 0.012127
4 Round 9: 0.011968
4 Round 10: 0.011471
Average time: 0.013278	0.012652

source 23: 457443    
4 Warmup Round: 0.013657
5 Round 1: 0.014001
5 Round 2: 0.013568
4 Round 3: 0.012173
4 Round 4: 0.012510
5 Round 5: 0.013640
4 Round 6: 0.013551
4 Round 7: 0.013113
4 Round 8: 0.011894
5 Round 9: 0.014588
5 Round 10: 0.013903
4 Warmup Round: 0.010576
5 Round 1: 0.009643
5 Round 2: 0.010188
5 Round 3: 0.012765
5 Round 4: 0.010814
4 Round 5: 0.009695
5 Round 6: 0.012865
4 Round 7: 0.009914
5 Round 8: 0.011301
5 Round 9: 0.011739
5 Round 10: 0.011227
Average time: 0.013294	0.011015

source 24: 849244    
6 Warmup Round: 0.016032
6 Round 1: 0.015094
6 Round 2: 0.013977
6 Round 3: 0.015472
6 Round 4: 0.015227
5 Round 5: 0.014076
6 Round 6: 0.015220
5 Round 7: 0.014070
6 Round 8: 0.014295
6 Round 9: 0.014223
6 Round 10: 0.016648
6 Warmup Round: 0.011980
6 Round 1: 0.012223
4 Round 2: 0.010562
6 Round 3: 0.011052
6 Round 4: 0.013436
5 Round 5: 0.012565
6 Round 6: 0.012560
6 Round 7: 0.012182
6 Round 8: 0.012166
4 Round 9: 0.010740
4 Round 10: 0.012225
Average time: 0.014830	0.011971

