Reading graph...
Info: Reading pbbs format
Reading contracted graph...
Info: Reading pbbs format
Running on /data9/ezhu021/graph/RoadUSA_sym_wgh.adj: |V|=23947348, |E|=57708624, param=524288, num_src=1, num_round=1
source 0: 4278411   
frontier_size: 63216 	 relax: 0.037057 	 pack: 0.000009
frontier_size: 80015 	 relax: 0.069664 	 pack: 0.000009
frontier_size: 69991 	 relax: 0.041516 	 pack: 0.000009
frontier_size: 70000 	 relax: 0.021050 	 pack: 0.000006
frontier_size: 76903 	 relax: 0.024256 	 pack: 0.000011
frontier_size: 58138 	 relax: 0.043787 	 pack: 0.000010
frontier_size: 67427 	 relax: 0.023475 	 pack: 0.000008
frontier_size: 86053 	 relax: 0.033942 	 pack: 0.000012
frontier_size: 87184 	 relax: 0.035842 	 pack: 0.000010
frontier_size: 82184 	 relax: 0.034594 	 pack: 0.000011
frontier_size: 91164 	 relax: 0.036289 	 pack: 0.000010
frontier_size: 96611 	 relax: 0.043253 	 pack: 0.000013
frontier_size: 78763 	 relax: 0.024021 	 pack: 0.000008
frontier_size: 63134 	 relax: 0.014612 	 pack: 0.000010
frontier_size: 52071 	 relax: 0.019200 	 pack: 0.000012
frontier_size: 41995 	 relax: 0.004821 	 pack: 0.000006
frontier_size: 31400 	 relax: 0.003814 	 pack: 0.000005
frontier_size: 36495 	 relax: 0.019219 	 pack: 0.000009
frontier_size: 35619 	 relax: 0.015152 	 pack: 0.000005
frontier_size: 43626 	 relax: 0.003298 	 pack: 0.000004
frontier_size: 49116 	 relax: 0.034782 	 pack: 0.000006
frontier_size: 36587 	 relax: 0.013880 	 pack: 0.000009
frontier_size: 31898 	 relax: 0.003046 	 pack: 0.000004
frontier_size: 26097 	 relax: 0.017316 	 pack: 0.000009
frontier_size: 31141 	 relax: 0.008788 	 pack: 0.000009
frontier_size: 37419 	 relax: 0.003198 	 pack: 0.000002
frontier_size: 41486 	 relax: 0.032101 	 pack: 0.000014
frontier_size: 35818 	 relax: 0.016724 	 pack: 0.000007
frontier_size: 33032 	 relax: 0.016893 	 pack: 0.000007
frontier_size: 36157 	 relax: 0.016101 	 pack: 0.000009
frontier_size: 46621 	 relax: 0.009716 	 pack: 0.000005
frontier_size: 55383 	 relax: 0.019908 	 pack: 0.000010
frontier_size: 70597 	 relax: 0.020430 	 pack: 0.000012
frontier_size: 82525 	 relax: 0.015859 	 pack: 0.000012
frontier_size: 79866 	 relax: 0.016884 	 pack: 0.000008
frontier_size: 92140 	 relax: 0.010812 	 pack: 0.000010
frontier_size: 123183 	 relax: 0.048559 	 pack: 0.000007
frontier_size: 153073 	 relax: 0.043539 	 pack: 0.000008
frontier_size: 155816 	 relax: 0.020809 	 pack: 0.000009
frontier_size: 150547 	 relax: 0.031439 	 pack: 0.000006
frontier_size: 131205 	 relax: 0.019257 	 pack: 0.000006
frontier_size: 128221 	 relax: 0.030474 	 pack: 0.000008
frontier_size: 123219 	 relax: 0.032440 	 pack: 0.000009
frontier_size: 120207 	 relax: 0.029440 	 pack: 0.000008
frontier_size: 115547 	 relax: 0.016320 	 pack: 0.000007
frontier_size: 125659 	 relax: 0.021388 	 pack: 0.000007
frontier_size: 128188 	 relax: 0.027063 	 pack: 0.000008
frontier_size: 135005 	 relax: 0.021256 	 pack: 0.000009
frontier_size: 134738 	 relax: 0.017108 	 pack: 0.000007
frontier_size: 130119 	 relax: 0.019841 	 pack: 0.000008
frontier_size: 136529 	 relax: 0.017614 	 pack: 0.000007
frontier_size: 158594 	 relax: 0.034533 	 pack: 0.000009
frontier_size: 147821 	 relax: 0.020034 	 pack: 0.000008
frontier_size: 143511 	 relax: 0.027804 	 pack: 0.000006
frontier_size: 125686 	 relax: 0.020275 	 pack: 0.000009
frontier_size: 132242 	 relax: 0.037439 	 pack: 0.000007
frontier_size: 140138 	 relax: 0.023829 	 pack: 0.000009
frontier_size: 159233 	 relax: 0.017661 	 pack: 0.000006
frontier_size: 177106 	 relax: 0.024670 	 pack: 0.000009
frontier_size: 183406 	 relax: 0.017313 	 pack: 0.000009
frontier_size: 178730 	 relax: 0.020799 	 pack: 0.000006
frontier_size: 162185 	 relax: 0.021558 	 pack: 0.000007
frontier_size: 123217 	 relax: 0.018798 	 pack: 0.000007
frontier_size: 128093 	 relax: 0.019639 	 pack: 0.000010
frontier_size: 124357 	 relax: 0.019152 	 pack: 0.000007
frontier_size: 141793 	 relax: 0.020165 	 pack: 0.000009
frontier_size: 130949 	 relax: 0.029896 	 pack: 0.000008
frontier_size: 123306 	 relax: 0.016176 	 pack: 0.000009
frontier_size: 132190 	 relax: 0.021060 	 pack: 0.000009
frontier_size: 135408 	 relax: 0.018033 	 pack: 0.000008
frontier_size: 138308 	 relax: 0.012946 	 pack: 0.000009
frontier_size: 149879 	 relax: 0.020983 	 pack: 0.000011
frontier_size: 162157 	 relax: 0.024702 	 pack: 0.000008
frontier_size: 166957 	 relax: 0.016663 	 pack: 0.000009
frontier_size: 182996 	 relax: 0.023156 	 pack: 0.001102
frontier_size: 202709 	 relax: 0.030283 	 pack: 0.000010
frontier_size: 185061 	 relax: 0.032976 	 pack: 0.000010
frontier_size: 188900 	 relax: 0.021898 	 pack: 0.000006
frontier_size: 175412 	 relax: 0.021614 	 pack: 0.000006
frontier_size: 161186 	 relax: 0.021784 	 pack: 0.000009
frontier_size: 165904 	 relax: 0.013446 	 pack: 0.000008
frontier_size: 145350 	 relax: 0.029176 	 pack: 0.000010
frontier_size: 117466 	 relax: 0.018525 	 pack: 0.000009
